Entity,Code,Year,Prevalence - Eating disorders - Sex: Both - Age: 20 to 24 (Percent),Prevalence - Eating disorders - Sex: Both - Age: 10 to 14 (Percent),Prevalence - Eating disorders - Sex: Both - Age: All Ages (Percent),Prevalence - Eating disorders - Sex: Both - Age: 30 to 34 (Percent),Prevalence - Eating disorders - Sex: Both - Age: 25 to 29 (Percent),Prevalence - Eating disorders - Sex: Both - Age: 5-14 years (Percent),Prevalence - Eating disorders - Sex: Both - Age: 50-69 years (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: 70+ years (Percent),Prevalence - Eating disorders - Sex: Both - Age: 15 to 19 (Percent)
Malta,MLT,2018,1.11,0.32,0.37,0.94,1.07,0.17,0,0.46,0,0.9
Malta,MLT,2019,1.12,0.32,0.37,0.96,1.09,0.17,0,0.46,0,0.9
Marshall Islands,MHL,1990,0.2,0.06,0.08,0.18,0.19,0.03,0,0.08,0,0.16
Marshall Islands,MHL,1991,0.2,0.06,0.08,0.18,0.19,0.03,0,0.08,0,0.17
Marshall Islands,MHL,1992,0.2,0.06,0.08,0.18,0.19,0.03,0,0.08,0,0.17
Marshall Islands,MHL,1993,0.2,0.06,0.08,0.18,0.19,0.03,0,0.08,0,0.17
Marshall Islands,MHL,1994,0.2,0.06,0.09,0.19,0.19,0.03,0,0.08,0,0.17
Marshall Islands,MHL,1995,0.2,0.07,0.09,0.19,0.19,0.03,0,0.08,0,0.17
Marshall Islands,MHL,1996,0.2,0.06,0.09,0.19,0.19,0.03,0,0.08,0,0.17
Marshall Islands,MHL,1997,0.2,0.06,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Marshall Islands,MHL,1998,0.2,0.06,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Marshall Islands,MHL,1999,0.2,0.06,0.09,0.18,0.19,0.03,0,0.08,0,0.16
Marshall Islands,MHL,2000,0.2,0.06,0.09,0.18,0.19,0.03,0,0.08,0,0.16
Marshall Islands,MHL,2001,0.2,0.06,0.09,0.18,0.19,0.03,0,0.08,0,0.16
Marshall Islands,MHL,2002,0.2,0.06,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Marshall Islands,MHL,2003,0.2,0.06,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Marshall Islands,MHL,2004,0.2,0.06,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Marshall Islands,MHL,2005,0.2,0.07,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Marshall Islands,MHL,2006,0.2,0.07,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Marshall Islands,MHL,2007,0.2,0.06,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Marshall Islands,MHL,2008,0.2,0.07,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Marshall Islands,MHL,2009,0.2,0.06,0.09,0.19,0.19,0.03,0,0.08,0,0.17
Marshall Islands,MHL,2010,0.2,0.07,0.09,0.19,0.19,0.03,0,0.08,0,0.17
Marshall Islands,MHL,2011,0.2,0.07,0.09,0.19,0.19,0.03,0,0.08,0,0.17
Marshall Islands,MHL,2012,0.2,0.07,0.09,0.19,0.19,0.03,0,0.08,0,0.17
Marshall Islands,MHL,2013,0.21,0.07,0.09,0.19,0.2,0.03,0,0.08,0,0.17
Marshall Islands,MHL,2014,0.21,0.07,0.09,0.19,0.2,0.03,0,0.08,0,0.17
Marshall Islands,MHL,2015,0.21,0.07,0.09,0.19,0.2,0.03,0,0.08,0,0.17
Marshall Islands,MHL,2016,0.21,0.07,0.09,0.19,0.2,0.03,0,0.08,0,0.18
Marshall Islands,MHL,2017,0.21,0.07,0.09,0.19,0.2,0.03,0,0.08,0,0.18
Marshall Islands,MHL,2018,0.21,0.07,0.09,0.2,0.2,0.03,0,0.09,0,0.18
Marshall Islands,MHL,2019,0.21,0.07,0.09,0.2,0.2,0.03,0,0.09,0,0.18
Mauritania,MRT,1990,0.26,0.07,0.1,0.24,0.25,0.03,0,0.1,0,0.21
Mauritania,MRT,1991,0.26,0.07,0.1,0.24,0.25,0.03,0,0.1,0,0.21
Mauritania,MRT,1992,0.26,0.07,0.1,0.25,0.25,0.03,0,0.1,0,0.21
Mauritania,MRT,1993,0.26,0.07,0.1,0.24,0.25,0.03,0,0.1,0,0.21
Mauritania,MRT,1994,0.26,0.07,0.1,0.24,0.25,0.03,0,0.1,0,0.21
Mauritania,MRT,1995,0.26,0.07,0.1,0.25,0.25,0.03,0,0.1,0,0.21
Mauritania,MRT,1996,0.26,0.07,0.1,0.25,0.25,0.03,0,0.1,0,0.21
Mauritania,MRT,1997,0.26,0.07,0.1,0.24,0.25,0.03,0,0.1,0,0.21
Mauritania,MRT,1998,0.26,0.07,0.1,0.24,0.25,0.03,0,0.1,0,0.21
Mauritania,MRT,1999,0.26,0.07,0.1,0.24,0.25,0.03,0,0.1,0,0.21
Mauritania,MRT,2000,0.25,0.07,0.1,0.24,0.25,0.03,0,0.1,0,0.21
Mauritania,MRT,2001,0.25,0.07,0.1,0.24,0.25,0.03,0,0.1,0,0.21
Mauritania,MRT,2002,0.25,0.07,0.1,0.24,0.25,0.03,0,0.1,0,0.2
Mauritania,MRT,2003,0.26,0.07,0.1,0.24,0.25,0.03,0,0.1,0,0.2
Mauritania,MRT,2004,0.25,0.07,0.1,0.25,0.25,0.03,0,0.1,0,0.2
Mauritania,MRT,2005,0.26,0.07,0.1,0.24,0.25,0.03,0,0.1,0,0.2
Mauritania,MRT,2006,0.26,0.07,0.11,0.25,0.25,0.03,0,0.1,0,0.2
Mauritania,MRT,2007,0.26,0.07,0.11,0.25,0.26,0.03,0,0.11,0,0.21
Mauritania,MRT,2008,0.26,0.08,0.11,0.25,0.26,0.03,0,0.11,0,0.21
Mauritania,MRT,2009,0.26,0.08,0.11,0.25,0.26,0.03,0,0.11,0,0.21
Mauritania,MRT,2010,0.27,0.08,0.11,0.26,0.26,0.03,0,0.11,0,0.21
Mauritania,MRT,2011,0.27,0.08,0.11,0.26,0.26,0.04,0,0.11,0,0.22
Mauritania,MRT,2012,0.27,0.08,0.11,0.26,0.27,0.04,0,0.11,0,0.22
Mauritania,MRT,2013,0.27,0.08,0.11,0.26,0.27,0.04,0,0.11,0,0.22
Mauritania,MRT,2014,0.28,0.08,0.12,0.27,0.27,0.04,0,0.11,0,0.22
Mauritania,MRT,2015,0.28,0.08,0.12,0.27,0.28,0.04,0,0.11,0,0.22
Mauritania,MRT,2016,0.28,0.08,0.12,0.27,0.28,0.04,0,0.12,0,0.23
Mauritania,MRT,2017,0.29,0.08,0.12,0.27,0.28,0.04,0,0.12,0,0.23
Mauritania,MRT,2018,0.29,0.08,0.12,0.27,0.28,0.04,0,0.12,0,0.23
Mauritania,MRT,2019,0.29,0.08,0.12,0.28,0.28,0.04,0,0.12,0,0.23
Mauritius,MUS,1990,0.26,0.08,0.12,0.25,0.25,0.04,0,0.11,0,0.21
Mauritius,MUS,1991,0.26,0.08,0.13,0.25,0.26,0.04,0,0.11,0,0.21
Mauritius,MUS,1992,0.26,0.08,0.13,0.26,0.26,0.04,0,0.11,0,0.21
Mauritius,MUS,1993,0.27,0.08,0.13,0.26,0.26,0.04,0,0.11,0,0.22
Mauritius,MUS,1994,0.27,0.08,0.13,0.26,0.27,0.04,0,0.11,0,0.22
Mauritius,MUS,1995,0.28,0.08,0.13,0.27,0.27,0.04,0,0.11,0,0.22
Mauritius,MUS,1996,0.28,0.08,0.13,0.27,0.27,0.04,0,0.11,0,0.22
Mauritius,MUS,1997,0.28,0.08,0.13,0.27,0.28,0.04,0,0.12,0,0.22
Mauritius,MUS,1998,0.28,0.08,0.13,0.28,0.28,0.04,0,0.12,0,0.22
Mauritius,MUS,1999,0.29,0.08,0.13,0.28,0.28,0.04,0,0.12,0,0.23
Mauritius,MUS,2000,0.29,0.08,0.13,0.28,0.29,0.04,0,0.12,0,0.23
Mauritius,MUS,2001,0.29,0.09,0.13,0.28,0.29,0.04,0,0.12,0,0.23
Mauritius,MUS,2002,0.29,0.09,0.13,0.29,0.29,0.04,0,0.12,0,0.23
Mauritius,MUS,2003,0.3,0.09,0.13,0.29,0.29,0.05,0,0.12,0,0.24
Mauritius,MUS,2004,0.3,0.09,0.13,0.29,0.29,0.05,0,0.12,0,0.24
Mauritius,MUS,2005,0.3,0.09,0.13,0.29,0.29,0.05,0,0.12,0,0.24
Mauritius,MUS,2006,0.3,0.09,0.13,0.3,0.3,0.05,0,0.13,0,0.24
Mauritius,MUS,2007,0.3,0.09,0.13,0.3,0.3,0.05,0,0.13,0,0.24
Mauritius,MUS,2008,0.31,0.09,0.13,0.3,0.3,0.05,0,0.13,0,0.25
Mauritius,MUS,2009,0.31,0.09,0.13,0.3,0.3,0.05,0,0.13,0,0.25
Mauritius,MUS,2010,0.31,0.09,0.13,0.31,0.31,0.05,0,0.13,0,0.25
Mauritius,MUS,2011,0.31,0.09,0.13,0.31,0.31,0.05,0,0.13,0,0.25
Mauritius,MUS,2012,0.31,0.09,0.13,0.31,0.31,0.05,0,0.13,0,0.25
Mauritius,MUS,2013,0.32,0.09,0.14,0.32,0.32,0.05,0,0.13,0,0.26
Mauritius,MUS,2014,0.32,0.09,0.14,0.32,0.32,0.05,0,0.14,0,0.26
Mauritius,MUS,2015,0.33,0.1,0.14,0.32,0.32,0.05,0,0.14,0,0.26
Mauritius,MUS,2016,0.33,0.1,0.14,0.33,0.33,0.05,0,0.14,0,0.26
Mauritius,MUS,2017,0.34,0.1,0.14,0.34,0.34,0.05,0,0.14,0,0.27
Mauritius,MUS,2018,0.35,0.1,0.14,0.34,0.34,0.05,0,0.14,0,0.27
Mauritius,MUS,2019,0.35,0.1,0.14,0.34,0.34,0.05,0,0.14,0,0.27
Mexico,MEX,1990,0.65,0.12,0.26,0.54,0.63,0.06,0,0.23,0,0.41
Mexico,MEX,1991,0.66,0.12,0.26,0.55,0.63,0.06,0,0.24,0,0.41
Mexico,MEX,1992,0.66,0.12,0.26,0.55,0.64,0.06,0,0.24,0,0.41
Mexico,MEX,1993,0.67,0.12,0.27,0.55,0.64,0.06,0,0.24,0,0.42
Mexico,MEX,1994,0.67,0.12,0.27,0.55,0.65,0.06,0,0.24,0,0.42
Mexico,MEX,1995,0.68,0.12,0.27,0.56,0.65,0.06,0,0.24,0,0.42
Mexico,MEX,1996,0.68,0.12,0.27,0.56,0.65,0.06,0,0.24,0,0.42
Mexico,MEX,1997,0.68,0.12,0.27,0.56,0.65,0.06,0,0.24,0,0.42
Mexico,MEX,1998,0.68,0.12,0.27,0.56,0.65,0.06,0,0.24,0,0.42
Mexico,MEX,1999,0.68,0.12,0.27,0.56,0.65,0.06,0,0.24,0,0.42
Mexico,MEX,2000,0.68,0.12,0.27,0.56,0.65,0.06,0,0.24,0,0.42
Mexico,MEX,2001,0.68,0.12,0.27,0.56,0.65,0.06,0,0.24,0,0.42
Mexico,MEX,2002,0.68,0.12,0.27,0.57,0.66,0.06,0,0.25,0,0.42
Mexico,MEX,2003,0.69,0.12,0.27,0.57,0.66,0.06,0,0.25,0,0.43
Mexico,MEX,2004,0.69,0.12,0.28,0.57,0.66,0.06,0,0.25,0,0.43
Mexico,MEX,2005,0.69,0.12,0.28,0.57,0.67,0.06,0,0.25,0,0.43
Mexico,MEX,2006,0.69,0.12,0.28,0.57,0.67,0.06,0,0.25,0,0.43
Mexico,MEX,2007,0.7,0.13,0.28,0.57,0.67,0.06,0,0.25,0,0.43
Mexico,MEX,2008,0.7,0.13,0.28,0.58,0.67,0.06,0,0.25,0,0.43
Mexico,MEX,2009,0.7,0.13,0.28,0.58,0.67,0.06,0,0.25,0,0.44
Mexico,MEX,2010,0.7,0.13,0.28,0.58,0.68,0.06,0,0.25,0,0.44
Mexico,MEX,2011,0.7,0.13,0.27,0.58,0.67,0.06,0,0.25,0,0.44
Mexico,MEX,2012,0.7,0.13,0.27,0.58,0.67,0.07,0,0.25,0,0.44
Mexico,MEX,2013,0.69,0.13,0.27,0.58,0.67,0.07,0,0.25,0,0.44
Mexico,MEX,2014,0.69,0.13,0.27,0.57,0.66,0.07,0,0.25,0,0.44
Mexico,MEX,2015,0.69,0.13,0.27,0.58,0.66,0.07,0,0.25,0,0.44
Mexico,MEX,2016,0.69,0.13,0.27,0.58,0.67,0.07,0,0.25,0,0.45
Mexico,MEX,2017,0.7,0.13,0.27,0.59,0.67,0.07,0,0.26,0,0.45
Mexico,MEX,2018,0.7,0.13,0.27,0.59,0.67,0.07,0,0.26,0,0.45
Mexico,MEX,2019,0.7,0.14,0.27,0.59,0.67,0.07,0,0.26,0,0.45
Micronesia (country),FSM,1990,0.2,0.06,0.08,0.18,0.19,0.03,0,0.08,0,0.16
Micronesia (country),FSM,1991,0.2,0.06,0.08,0.18,0.19,0.03,0,0.08,0,0.16
Micronesia (country),FSM,1992,0.2,0.06,0.08,0.18,0.19,0.03,0,0.08,0,0.16
Micronesia (country),FSM,1993,0.2,0.06,0.08,0.18,0.19,0.03,0,0.08,0,0.16
Micronesia (country),FSM,1994,0.2,0.06,0.08,0.18,0.19,0.03,0,0.08,0,0.17
Micronesia (country),FSM,1995,0.2,0.06,0.08,0.18,0.19,0.03,0,0.08,0,0.17
Micronesia (country),FSM,1996,0.2,0.06,0.08,0.18,0.19,0.03,0,0.08,0,0.17
Micronesia (country),FSM,1997,0.2,0.06,0.08,0.18,0.19,0.03,0,0.08,0,0.17
Micronesia (country),FSM,1998,0.2,0.06,0.08,0.18,0.19,0.03,0,0.08,0,0.17
Micronesia (country),FSM,1999,0.2,0.06,0.08,0.18,0.19,0.03,0,0.08,0,0.16
Micronesia (country),FSM,2000,0.2,0.06,0.09,0.18,0.19,0.03,0,0.08,0,0.16
Micronesia (country),FSM,2001,0.2,0.06,0.09,0.18,0.19,0.03,0,0.08,0,0.16
Micronesia (country),FSM,2002,0.2,0.06,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Micronesia (country),FSM,2003,0.2,0.06,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Micronesia (country),FSM,2004,0.2,0.06,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Micronesia (country),FSM,2005,0.2,0.06,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Micronesia (country),FSM,2006,0.2,0.06,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Micronesia (country),FSM,2007,0.2,0.06,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Micronesia (country),FSM,2008,0.2,0.06,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Micronesia (country),FSM,2009,0.2,0.07,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Micronesia (country),FSM,2010,0.2,0.07,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Micronesia (country),FSM,2011,0.2,0.07,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Micronesia (country),FSM,2012,0.2,0.07,0.09,0.19,0.19,0.03,0,0.08,0,0.17
Micronesia (country),FSM,2013,0.2,0.07,0.09,0.18,0.19,0.03,0,0.08,0,0.17
Micronesia (country),FSM,2014,0.2,0.07,0.09,0.19,0.19,0.03,0,0.08,0,0.17
Micronesia (country),FSM,2015,0.2,0.07,0.09,0.19,0.2,0.03,0,0.08,0,0.17
Micronesia (country),FSM,2016,0.2,0.07,0.09,0.19,0.19,0.03,0,0.08,0,0.17
Micronesia (country),FSM,2017,0.2,0.07,0.09,0.19,0.2,0.03,0,0.08,0,0.17
Micronesia (country),FSM,2018,0.21,0.07,0.09,0.19,0.2,0.03,0,0.08,0,0.17
Micronesia (country),FSM,2019,0.21,0.07,0.09,0.19,0.2,0.04,0,0.08,0,0.17
Middle East & North Africa (WB),,1990,0.46,0.14,0.2,0.45,0.45,0.07,0,0.19,0,0.4
Middle East & North Africa (WB),,1991,0.46,0.14,0.2,0.45,0.45,0.07,0,0.19,0,0.39
Middle East & North Africa (WB),,1992,0.46,0.14,0.2,0.45,0.45,0.07,0,0.19,0,0.39
Middle East & North Africa (WB),,1993,0.45,0.14,0.2,0.45,0.45,0.07,0,0.19,0,0.39
Middle East & North Africa (WB),,1994,0.45,0.14,0.21,0.45,0.45,0.07,0,0.19,0,0.39
Middle East & North Africa (WB),,1995,0.45,0.14,0.21,0.45,0.45,0.07,0,0.19,0,0.39
Middle East & North Africa (WB),,1996,0.46,0.14,0.21,0.45,0.45,0.07,0,0.19,0,0.39
Middle East & North Africa (WB),,1997,0.46,0.14,0.21,0.45,0.45,0.07,0,0.19,0,0.39
Middle East & North Africa (WB),,1998,0.46,0.14,0.22,0.46,0.45,0.07,0,0.2,0,0.39
Middle East & North Africa (WB),,1999,0.46,0.14,0.22,0.46,0.45,0.07,0,0.2,0,0.4
Middle East & North Africa (WB),,2000,0.46,0.14,0.22,0.46,0.46,0.07,0,0.2,0,0.4
Middle East & North Africa (WB),,2001,0.46,0.14,0.22,0.46,0.46,0.07,0,0.2,0,0.4
Middle East & North Africa (WB),,2002,0.47,0.14,0.23,0.47,0.46,0.07,0,0.2,0,0.4
Middle East & North Africa (WB),,2003,0.48,0.14,0.23,0.47,0.47,0.07,0,0.2,0,0.41
Middle East & North Africa (WB),,2004,0.48,0.15,0.24,0.48,0.48,0.07,0,0.2,0,0.41
Middle East & North Africa (WB),,2005,0.49,0.15,0.24,0.48,0.48,0.08,0,0.21,0,0.42
Middle East & North Africa (WB),,2006,0.49,0.15,0.24,0.49,0.49,0.08,0,0.21,0,0.42
Middle East & North Africa (WB),,2007,0.5,0.15,0.25,0.49,0.5,0.08,0,0.21,0,0.42
Middle East & North Africa (WB),,2008,0.51,0.15,0.25,0.5,0.5,0.08,0,0.22,0,0.43
Middle East & North Africa (WB),,2009,0.51,0.15,0.26,0.51,0.51,0.08,0,0.22,0,0.43
Middle East & North Africa (WB),,2010,0.51,0.15,0.26,0.51,0.52,0.08,0,0.22,0,0.43
Middle East & North Africa (WB),,2011,0.52,0.15,0.26,0.52,0.52,0.08,0,0.22,0,0.43
Middle East & North Africa (WB),,2012,0.52,0.15,0.26,0.52,0.52,0.08,0,0.22,0,0.44
Middle East & North Africa (WB),,2013,0.52,0.16,0.26,0.53,0.53,0.08,0,0.22,0,0.44
Middle East & North Africa (WB),,2014,0.53,0.16,0.26,0.53,0.53,0.08,0,0.23,0,0.44
Middle East & North Africa (WB),,2015,0.53,0.16,0.26,0.54,0.53,0.08,0,0.23,0,0.45
Middle East & North Africa (WB),,2016,0.53,0.16,0.26,0.54,0.54,0.08,0,0.23,0,0.45
Middle East & North Africa (WB),,2017,0.53,0.16,0.26,0.55,0.54,0.08,0,0.23,0,0.45
Middle East & North Africa (WB),,2018,0.54,0.16,0.26,0.55,0.54,0.08,0,0.23,0,0.45
Middle East & North Africa (WB),,2019,0.53,0.16,0.26,0.55,0.54,0.08,0,0.23,0,0.45
Moldova,MDA,1990,0.31,0.09,0.13,0.28,0.3,0.04,0,0.12,0,0.25
Moldova,MDA,1991,0.3,0.09,0.12,0.27,0.29,0.04,0,0.12,0,0.24
Moldova,MDA,1992,0.29,0.09,0.12,0.27,0.28,0.04,0,0.12,0,0.24
Moldova,MDA,1993,0.29,0.09,0.12,0.26,0.28,0.04,0,0.12,0,0.23
Moldova,MDA,1994,0.28,0.08,0.11,0.25,0.27,0.04,0,0.11,0,0.23
Moldova,MDA,1995,0.27,0.08,0.11,0.25,0.26,0.04,0,0.11,0,0.22
Moldova,MDA,1996,0.26,0.08,0.11,0.24,0.25,0.04,0,0.11,0,0.22
Moldova,MDA,1997,0.25,0.08,0.1,0.23,0.24,0.04,0,0.1,0,0.21
Moldova,MDA,1998,0.25,0.08,0.1,0.22,0.23,0.04,0,0.1,0,0.21
Moldova,MDA,1999,0.24,0.07,0.1,0.21,0.23,0.04,0,0.1,0,0.2
Moldova,MDA,2000,0.24,0.07,0.1,0.21,0.22,0.04,0,0.09,0,0.2
Moldova,MDA,2001,0.24,0.07,0.1,0.21,0.22,0.04,0,0.1,0,0.2
Moldova,MDA,2002,0.24,0.07,0.1,0.21,0.22,0.04,0,0.1,0,0.2
Moldova,MDA,2003,0.24,0.08,0.1,0.21,0.23,0.04,0,0.1,0,0.2
Moldova,MDA,2004,0.24,0.08,0.1,0.21,0.23,0.04,0,0.1,0,0.2
Moldova,MDA,2005,0.24,0.07,0.1,0.21,0.23,0.04,0,0.1,0,0.2
Moldova,MDA,2006,0.24,0.08,0.1,0.21,0.23,0.04,0,0.1,0,0.2
Moldova,MDA,2007,0.25,0.08,0.1,0.22,0.23,0.04,0,0.1,0,0.21
Moldova,MDA,2008,0.25,0.08,0.1,0.22,0.24,0.04,0,0.1,0,0.21
Moldova,MDA,2009,0.26,0.08,0.1,0.22,0.24,0.04,0,0.1,0,0.21
Moldova,MDA,2010,0.26,0.08,0.1,0.23,0.24,0.04,0,0.1,0,0.22
Moldova,MDA,2011,0.26,0.08,0.1,0.23,0.25,0.04,0,0.11,0,0.22
Moldova,MDA,2012,0.27,0.08,0.11,0.23,0.25,0.04,0,0.11,0,0.22
Moldova,MDA,2013,0.27,0.08,0.11,0.24,0.26,0.04,0,0.11,0,0.23
Moldova,MDA,2014,0.28,0.08,0.11,0.24,0.26,0.04,0,0.11,0,0.23
Moldova,MDA,2015,0.28,0.09,0.11,0.25,0.26,0.04,0,0.11,0,0.23
Moldova,MDA,2016,0.28,0.09,0.11,0.25,0.27,0.04,0,0.11,0,0.23
Moldova,MDA,2017,0.28,0.09,0.11,0.25,0.27,0.04,0,0.11,0,0.23
Moldova,MDA,2018,0.29,0.09,0.11,0.25,0.27,0.04,0,0.12,0,0.23
Moldova,MDA,2019,0.29,0.09,0.11,0.26,0.27,0.05,0,0.12,0,0.24
Monaco,MCO,1990,1.89,0.47,0.63,1.68,1.86,0.25,0,0.78,0,1.38
Monaco,MCO,1991,1.88,0.47,0.62,1.69,1.86,0.25,0,0.78,0,1.37
Monaco,MCO,1992,1.89,0.48,0.62,1.69,1.87,0.25,0,0.79,0,1.37
Monaco,MCO,1993,1.9,0.48,0.62,1.68,1.86,0.25,0,0.79,0,1.37
Monaco,MCO,1994,1.9,0.48,0.61,1.69,1.88,0.25,0,0.79,0,1.37
Monaco,MCO,1995,1.9,0.48,0.61,1.7,1.89,0.25,0,0.79,0,1.38
Monaco,MCO,1996,1.9,0.48,0.61,1.7,1.89,0.25,0,0.8,0,1.39
Monaco,MCO,1997,1.91,0.48,0.6,1.7,1.91,0.25,0,0.8,0,1.4
Monaco,MCO,1998,1.91,0.48,0.6,1.71,1.93,0.25,0,0.8,0,1.4
Monaco,MCO,1999,1.93,0.48,0.59,1.72,1.94,0.25,0,0.81,0,1.41
Monaco,MCO,2000,1.95,0.49,0.59,1.73,1.95,0.25,0,0.81,0,1.4
Monaco,MCO,2001,1.98,0.49,0.59,1.74,1.95,0.26,0,0.82,0,1.4
Monaco,MCO,2002,2,0.5,0.6,1.76,1.96,0.27,0,0.82,0,1.42
Monaco,MCO,2003,2.02,0.5,0.6,1.78,1.98,0.27,0,0.83,0,1.44
Monaco,MCO,2004,2.03,0.51,0.6,1.8,2,0.27,0,0.84,0,1.44
Monaco,MCO,2005,2.02,0.52,0.6,1.81,2.03,0.28,0,0.85,0,1.46
Monaco,MCO,2006,2.01,0.52,0.61,1.82,2.06,0.28,0,0.85,0,1.47
Monaco,MCO,2007,2.02,0.52,0.61,1.83,2.09,0.28,0,0.86,0,1.47
Monaco,MCO,2008,2.04,0.53,0.61,1.84,2.11,0.28,0,0.86,0,1.49
Monaco,MCO,2009,2.04,0.53,0.61,1.87,2.12,0.29,0,0.87,0,1.5
Monaco,MCO,2010,2.07,0.53,0.61,1.9,2.11,0.29,0,0.88,0,1.51
Monaco,MCO,2011,2.07,0.53,0.61,1.92,2.1,0.29,0,0.88,0,1.53
Monaco,MCO,2012,2.08,0.54,0.62,1.95,2.11,0.3,0,0.89,0,1.54
Monaco,MCO,2013,2.11,0.54,0.62,1.98,2.13,0.3,0,0.9,0,1.54
Monaco,MCO,2014,2.14,0.54,0.62,1.99,2.14,0.3,0,0.91,0,1.55
Monaco,MCO,2015,2.17,0.55,0.62,1.98,2.16,0.3,0,0.91,0,1.56
Monaco,MCO,2016,2.22,0.55,0.63,1.98,2.18,0.31,0,0.93,0,1.58
Monaco,MCO,2017,2.24,0.56,0.63,2,2.19,0.31,0,0.94,0,1.61
Monaco,MCO,2018,2.25,0.56,0.63,2.02,2.23,0.3,0,0.95,0,1.63
Monaco,MCO,2019,2.27,0.57,0.64,2.03,2.25,0.31,0,0.96,0,1.65
Mongolia,MNG,1990,0.26,0.08,0.11,0.24,0.25,0.04,0,0.1,0,0.21
Mongolia,MNG,1991,0.26,0.08,0.11,0.24,0.25,0.04,0,0.1,0,0.21
Mongolia,MNG,1992,0.25,0.08,0.11,0.23,0.24,0.04,0,0.1,0,0.21
Mongolia,MNG,1993,0.25,0.08,0.11,0.23,0.24,0.04,0,0.1,0,0.21
Mongolia,MNG,1994,0.25,0.07,0.11,0.23,0.24,0.03,0,0.1,0,0.21
Mongolia,MNG,1995,0.25,0.07,0.11,0.23,0.24,0.04,0,0.1,0,0.21
Mongolia,MNG,1996,0.25,0.07,0.11,0.23,0.24,0.04,0,0.1,0,0.2
Mongolia,MNG,1997,0.25,0.07,0.12,0.23,0.24,0.04,0,0.1,0,0.2
Mongolia,MNG,1998,0.25,0.07,0.12,0.23,0.24,0.04,0,0.1,0,0.2
Mongolia,MNG,1999,0.25,0.08,0.12,0.23,0.24,0.04,0,0.1,0,0.2
Mongolia,MNG,2000,0.25,0.08,0.12,0.23,0.24,0.04,0,0.1,0,0.2
Mongolia,MNG,2001,0.25,0.08,0.12,0.23,0.24,0.04,0,0.1,0,0.2
Mongolia,MNG,2002,0.25,0.08,0.12,0.23,0.24,0.04,0,0.1,0,0.21
Mongolia,MNG,2003,0.25,0.08,0.13,0.23,0.24,0.04,0,0.1,0,0.21
Mongolia,MNG,2004,0.26,0.08,0.13,0.24,0.25,0.04,0,0.1,0,0.21
Mongolia,MNG,2005,0.26,0.08,0.13,0.24,0.25,0.04,0,0.11,0,0.21
Mongolia,MNG,2006,0.27,0.08,0.14,0.25,0.25,0.04,0,0.11,0,0.22
Mongolia,MNG,2007,0.27,0.08,0.14,0.25,0.26,0.05,0,0.11,0,0.22
Mongolia,MNG,2008,0.28,0.08,0.14,0.25,0.27,0.05,0,0.11,0,0.23
Mongolia,MNG,2009,0.28,0.09,0.14,0.26,0.27,0.05,0,0.11,0,0.23
Mongolia,MNG,2010,0.29,0.09,0.14,0.26,0.28,0.05,0,0.12,0,0.24
Mongolia,MNG,2011,0.29,0.09,0.15,0.27,0.28,0.05,0,0.12,0,0.24
Mongolia,MNG,2012,0.3,0.09,0.15,0.28,0.29,0.05,0,0.12,0,0.24
Mongolia,MNG,2013,0.31,0.09,0.15,0.28,0.3,0.05,0,0.13,0,0.25
Mongolia,MNG,2014,0.32,0.09,0.15,0.29,0.31,0.04,0,0.13,0,0.26
Mongolia,MNG,2015,0.33,0.1,0.15,0.3,0.32,0.04,0,0.13,0,0.26
Mongolia,MNG,2016,0.33,0.1,0.15,0.31,0.32,0.04,0,0.14,0,0.27
Mongolia,MNG,2017,0.34,0.1,0.15,0.32,0.33,0.04,0,0.14,0,0.27
Mongolia,MNG,2018,0.34,0.1,0.15,0.32,0.33,0.04,0,0.14,0,0.27
Mongolia,MNG,2019,0.34,0.1,0.15,0.32,0.33,0.04,0,0.14,0,0.27
Montenegro,MNE,1990,0.39,0.11,0.17,0.37,0.38,0.06,0,0.16,0,0.31
Montenegro,MNE,1991,0.38,0.11,0.16,0.35,0.37,0.05,0,0.16,0,0.3
Montenegro,MNE,1992,0.36,0.1,0.15,0.34,0.36,0.05,0,0.15,0,0.29
